,Rank,Name,Net worth,Age,Citizenship,Source,Industry
1232,1217,J. Tomilson Hill,$2.5 B,74,United States,Investments,
1233,1217,Jay-Z,$2.5 B,53,United States,Music,
1234,1217,Baba Kalyani,$2.5 B,74,India,Engineering,
1235,1217,Saban Cemil Kazanci,$2.5 B,62,Turkey,Energy,
1236,1217,Brad Kelley,$2.5 B,66,United States,Tobacco,
1237,1217,Wolfgang Leitner,$2.5 B,70,Austria,Engineering,
1238,1217,Li Hongxin & family,$2.5 B,70,China,Paper & related products,
1239,1217,Lin Chen-hai,$2.5 B,76,Taiwan,Real estate,
1240,1217,Lu Yiwen,$2.5 B,36,China,Jewelry,
1241,1217,Prayudh Mahagitsiri,$2.5 B,77,Thailand,"Coffee, shipping",
1242,1217,Willy Michel,$2.5 B,76,Switzerland,Medical devices,
1243,1217,Lachhman Das Mittal,$2.5 B,92,India,Tractors,
1244,1217,Bobby Murphy,$2.5 B,34,United States,Snapchat,
1245,1217,Tomas Olivo Lopez,$2.5 B,49,Spain,Shopping centers,
1246,1217,Eren Ozmen,$2.5 B,64,United States,Aerospace,
1247,1217,John Pritzker,$2.5 B,69,United States,"Hotels, investments",
1248,1217,Qiu Minxiu,$2.5 B,77,China,Semiconductors,
1249,1217,Ferit Faik Sahenk,$2.5 B,59,Turkey,Diversified,
1250,1217,Wenrong Shen,$2.5 B,77,China,Steel production,
1251,1217,Yuzhu Shi,$2.5 B,60,China,"Online games, investments",
1252,1217,Jeff Sutton,$2.5 B,63,United States,Real estate,
1253,1217,"Henry Sy, Jr.",$2.5 B,69,Philippines,Diversified,
1254,1217,Andrew Tan,$2.5 B,71,Philippines,Diversified,
1255,1217,Arvind Tiku,$2.5 B,53,India,"Oil & gas, investments",
1256,1217,Byron Trott,$2.5 B,64,United States,Investments,
1257,1217,Donald Trump,$2.5 B,76,United States,Real estate,
1258,1217,Peter Unger,$2.5 B,78,Germany,Auto repair,
1259,1217,Roger Wang,$2.5 B,74,United States,Retail,
1260,1217,Oprah Winfrey,$2.5 B,69,United States,TV shows,
1261,1217,Wu Zhigang & family,$2.5 B,88,China,Bakery chain,
1262,1217,Xie Weitong,$2.5 B,66,Taiwan,Cobalt,
1263,1217,Ye Guofu,$2.5 B,45,China,Retail,
1264,1272,Brian Acton,$2.4 B,51,United States,WhatsApp,
1265,1272,Abdulla Al Futtaim & family,$2.4 B,83,United Arab Emirates,"Auto dealers, investments",
1266,1272,Edward Bass,$2.4 B,77,United States,"Oil, investments",
1267,1272,Koos Bekker,$2.4 B,70,South Africa,"Media, investments",
1268,1272,Otto Philipp Braun,$2.4 B,45,Germany,Medical technology,
1269,1272,Chen Tei-fu,$2.4 B,74,Taiwan,Herbal products,
1270,1272,Abilio dos Santos Diniz,$2.4 B,86,Brazil,Retail,
1271,1272,Marcel Erni,$2.4 B,58,Switzerland,Private equity,
1272,1272,Doris Fisher,$2.4 B,91,United States,Gap,
1273,1272,Gerald Ford,$2.4 B,78,United States,Banking,
1274,1272,Bernard Fraisse & family,$2.4 B,66,France,Pharmaceuticals,
1275,1272,Alfred Gantner,$2.4 B,55,Switzerland,Private equity,
1276,1272,Paul Gauselmann & family,$2.4 B,88,Germany,Gambling,
1277,1272,Mitchell Goldhar,$2.4 B,61,Canada,Real estate,
1278,1272,Peter Hargreaves,$2.4 B,76,United Kingdom,Financial services,
1279,1272,Xuande Hua & family,$2.4 B,79,China,Pharmaceuticals,
1280,1272,Kwek Leng Kee,$2.4 B,68,Singapore,Diversified,
1281,1272,Catherine Lozick,$2.4 B,77,United States,Valve manufacturing,
1282,1272,Kalanithi Maran,$2.4 B,57,India,Media,
1283,1272,Jed McCaleb,$2.4 B,48,United States,Cryptocurrency,
1284,1272,Fatih Ozmen,$2.4 B,65,United States,Aerospace,
1285,1272,Pan Laican,$2.4 B,N/A,China,Soy sauce,
1286,1272,Tor Peterson,$2.4 B,58,United States,Commodities,
1287,1272,Daniel Pritzker,$2.4 B,63,United States,"Hotels, investments",
1288,1272,Jinxing Qi,$2.4 B,61,China,Real estate,
1289,1272,Qiu Jianping & family,$2.4 B,61,China,Hand tools,
1290,1272,Rajan Raheja & family,$2.4 B,68,India,Diversified,
1291,1272,Matthias Reinhart,$2.4 B,63,Switzerland,Financial services,
1292,1272,Arnout Schuijff,$2.4 B,55,Netherlands,Payments software,
1293,1272,Hans Sy,$2.4 B,67,Philippines,Diversified,
1294,1272,Herbert Sy,$2.4 B,66,Philippines,Diversified,
1295,1272,Lucio Tan,$2.4 B,88,Philippines,Diversified,
1296,1272,Tsai Ming-kai,$2.4 B,72,Taiwan,Semiconductors,
1297,1272,Ted Turner,$2.4 B,84,United States,Cable television,
1298,1272,David Walentas,$2.4 B,84,United States,Real estate,
1299,1272,Urs Wietlisbach,$2.4 B,61,Switzerland,Private equity,
1300,1272,Jerry Yang,$2.4 B,54,United States,Yahoo,
1301,1272,Yang Jianliang & family,$2.4 B,53,China,Machinery,
1302,1272,Yang Weidong & family,$2.4 B,54,China,Chemicals,
1303,1272,Mortimer Zuckerman,$2.4 B,85,United States,"Real estate, media",
1304,1312,John Armitage,$2.3 B,63,Ireland,Hedge funds,
1305,1312,Lee Bass,$2.3 B,66,United States,"Oil, investments",
1306,1312,John Bicket,$2.3 B,43,United States,Sensor systems,
1307,1312,Sanjit Biswas,$2.3 B,41,United States,Sensor systems,
1308,1312,Timothy Boyle,$2.3 B,73,United States,Columbia Sportswear,
1309,1312,Morris Chang,$2.3 B,91,Taiwan,Semiconductors,
1310,1312,Chao Teng-hsiung,$2.3 B,78,Taiwan,Real estate,
1311,1312,Samuel Chen,$2.3 B,73,Taiwan,Investments,
1312,1312,Chu Lam Yiu,$2.3 B,53,Hong Kong,Flavorings,
1313,1312,K. Dinesh,$2.3 B,68,India,Software services,
1314,1312,James Duff,$2.3 B,62,United States,"Tires, diversified",
1315,1312,Thomas Duff,$2.3 B,66,United States,"Tires, diversified",
1316,1312,Daniel Ek,$2.3 B,40,Sweden,Spotify,
1317,1312,John Fisher,$2.3 B,61,United States,Gap,
1318,1312,Georg Haub,$2.3 B,61,Germany,Retail,
1319,1312,Erman Ilicak,$2.3 B,55,Turkey,Construction,
1320,1312,Justin Ishbia,$2.3 B,45,United States,Private equity,
1321,1312,Long Jiang,$2.3 B,49,China,Manufacturing,
1322,1312,Bruce Karsh,$2.3 B,67,United States,Private equity,
1323,1312,Bom Kim,$2.3 B,44,United States,Online retailing,
1324,1312,Jianping Lai,$2.3 B,N/A,China,Soy sauce,
1325,1312,Lam Kong,$2.3 B,58,China,Pharmaceuticals,
1326,1312,Stephen Lansdown,$2.3 B,70,Guernsey,Financial services,
1327,1312,Kevin David Lehmann,$2.3 B,20,Germany,Drugstores,
1328,1312,Li Haiyan,$2.3 B,N/A,China,Restaurants,
1329,1312,Hua Li,$2.3 B,45,China,Financial services,
1330,1312,Lim Kok Thay,$2.3 B,71,Malaysia,Casinos,
1331,1312,Kishore Mariwala,$2.3 B,88,India,Consumer goods,
1332,1312,Clayton Mathile,$2.3 B,82,United States,Pet food,
1333,1312,Mi Enhua,$2.3 B,65,China,Retail,
1334,1312,Vadim Moshkovich,$2.3 B,55,Russia,"Agriculture, land",
1335,1312,David Murdock,$2.3 B,99,United States,"Dole, real estate",
1336,1312,David Nahmad,$2.3 B,75,Monaco,Art collection,
1337,1312,Lirio Parisotto,$2.3 B,69,Brazil,Investments,
1338,1312,Augusto Perfetti,$2.3 B,N/A,Italy,Candy,
1339,1312,Giorgio Perfetti,$2.3 B,N/A,Italy,Candy,
1340,1312,Alberto Prada,$2.3 B,69,Italy,Luxury goods,
1341,1312,Marina Prada,$2.3 B,77,Italy,Luxury goods,
1342,1312,Filiz Sahenk,$2.3 B,56,Turkey,Diversified,
1343,1312,Richard Sands,$2.3 B,72,United States,Liquor,
1344,1312,Stephan Schmidheiny,$2.3 B,75,Switzerland,Investments,
1345,1312,Alberto Siccardi & family,$2.3 B,78,Switzerland,Medical devices,
1346,1312,Stefan Soloviev,$2.3 B,47,United States,"Real estate, grains",
1347,1312,Tang Yiu,$2.3 B,89,Hong Kong,Fashion retail,
1348,1312,Tian Ming,$2.3 B,69,China,Measuring instruments,
1349,1312,T.Y. Tsai,$2.3 B,70,Taiwan,Finance,
1350,1312,Jayshree Ullal,$2.3 B,62,United States,Computer networking,
1351,1312,Georg von Opel,$2.3 B,56,Switzerland,"Real estate, investments",
1352,1312,Lang Walker,$2.3 B,77,Australia,Real estate,
1353,1312,Xicheng Wang & family,$2.3 B,74,China,Tires,
1354,1312,Wang Zhenhua,$2.3 B,61,China,Real estate,
1355,1312,Paul-Heinz Wesjohann & family,$2.3 B,79,Germany,Chicken processing,
1356,1312,Xie Bingkun & family,$2.3 B,56,China,Pearlescent pigments,
1357,1312,Xu Shugen,$2.3 B,57,China,"Construction, mining machinery",
1358,1312,Christoph Zeller,$2.3 B,65,Liechtenstein,Dental materials,
1359,1312,Zhang Jingzhang & family,$2.3 B,87,China,Precision machinery,
1360,1368,George Argyros & family,$2.2 B,86,United States,"Real estate, investments",
1361,1368,Brian Armstrong,$2.2 B,40,United States,Cryptocurrency,
1362,1368,Albert Avdolyan,$2.2 B,52,Russia,"Oil, mining",
1363,1368,Sezai Bacaksiz,$2.2 B,73,Turkey,Diversified,
1364,1368,Aneel Bhusri,$2.2 B,57,United States,Business software,
1365,1368,Brett Blundy,$2.2 B,63,Australia,"Retail, agribusiness",
1366,1368,J. Hyatt Brown,$2.2 B,85,United States,Insurance,
1367,1368,Chen Jinxia,$2.2 B,55,China,Investments,
1368,1368,Chen Xueli,$2.2 B,71,China,Pharmaceuticals,
1369,1368,Dermot Desmond,$2.2 B,72,Ireland,Finance,
1370,1368,Dong Wei,$2.2 B,52,China,Pharmaceuticals,
1371,1368,Tom Ford,$2.2 B,61,United States,Fashion,
1372,1368,Fu Guangming & family,$2.2 B,69,China,Poultry,
1373,1368,Noam Gottesman,$2.2 B,61,United States,Hedge funds,
1374,1368,Jeffrey Gundlach,$2.2 B,64,United States,Investments,
1375,1368,Hao Hong,$2.2 B,67,United States,Pharmaceuticals,
1376,1368,Shmuel Harlap,$2.2 B,78,Israel,Automotive,
1377,1368,Hans-Werner Hector,$2.2 B,83,Germany,SAP,
1378,1368,Lutz Mario Helmig & family,$2.2 B,76,Germany,Hospitals,
1379,1368,Chulong Huang,$2.2 B,64,Canada,Real estate,
1380,1368,Thomas James,$2.2 B,80,United States,Finance,
1381,1368,James Jannard,$2.2 B,73,United States,Sunglasses,
1382,1368,Willis Johnson,$2.2 B,75,United States,Damaged cars,
1383,1368,Lai Shixian,$2.2 B,48,China,Sports apparel,
1384,1368,Chris Larsen,$2.2 B,62,United States,Cryptocurrency,
1385,1368,Solomon Lew,$2.2 B,78,Australia,Retail,
1386,1368,Liang Xinjun,$2.2 B,55,China,Conglomerate,
1387,1368,Harald Link,$2.2 B,68,Thailand,Diversified,
1388,1368,Max Lytvyn,$2.2 B,43,Canada,Software,
1389,1368,Igor Makarov,$2.2 B,60,Cyprus,Investments,
1390,1368,Howard Marks,$2.2 B,76,United States,Private equity,
1391,1368,Charles Munger,$2.2 B,99,United States,Berkshire Hathaway,
1392,1368,Adam Neumann,$2.2 B,44,Israel,WeWork,
1393,1368,Ni Yongpei & family,$2.2 B,71,China,Beverages,
1394,1368,Heloise Pratt,$2.2 B,60,Australia,"Manufacturing, investment",
1395,1368,Qi Xiangdong,$2.2 B,52,China,Software,
1396,1368,Phillip T. (Terry) Ragon,$2.2 B,73,United States,Health IT,
1397,1368,Prathap Reddy,$2.2 B,91,India,Healthcare,
1398,1368,Jerry Reinsdorf,$2.2 B,87,United States,Sports teams,
1399,1368,Chad Richison,$2.2 B,52,United States,Payroll processing,
1400,1368,"Karl Scheufele, III. & family",$2.2 B,84,Switzerland,Jewelry,
1401,1368,Alice Schwartz,$2.2 B,96,United States,Biotech,
1402,1368,Alex Shevchenko,$2.2 B,43,Canada,Software,
1403,1368,Kavitark Ram Shriram,$2.2 B,66,United States,"Venture capital, Google",
1404,1368,Jeffrey Soffer,$2.2 B,55,United States,Real estate,
1405,1368,William Stone,$2.2 B,67,United States,Software,
1406,1368,Henry Swieca,$2.2 B,65,United States,Hedge funds,
1407,1368,Harley Sy,$2.2 B,63,Philippines,Diversified,
1408,1368,Teresita Sy-Coson,$2.2 B,72,Philippines,Diversified,
1409,1368,Katsumi Tada,$2.2 B,77,Japan,Real estate,
1410,1368,Tang Jinkui & family,$2.2 B,67,China,"Textiles, petrochemicals",
1411,1368,Tang Xiao'ou,$2.2 B,55,Hong Kong,Software,
1412,1368,Lottie Tham & family,$2.2 B,73,Sweden,H&M,
1413,1368,Shamsheer Vayalil,$2.2 B,46,India,Healthcare,
1414,1368,Radha Vembu,$2.2 B,50,India,Business software,
1415,1368,Wang Wenmo,$2.2 B,66,China,Sports apparel,
1416,1368,Wang Zhenghua,$2.2 B,78,China,Budget airline,
1417,1368,David Wertheim,$2.2 B,65,Israel,Coca-Cola Israel,
1418,1368,Kai Wu,$2.2 B,55,China,Batteries,
1419,1368,Xu Yingzhuo,$2.2 B,55,China,Agribusiness,
1420,1368,Yeung Kin-man,$2.2 B,59,Hong Kong,Electronics,
1421,1368,Huijiao Yu,$2.2 B,57,China,Package delivery,
1422,1368,Oren Zeev,$2.2 B,58,Israel,Investments,
1423,1368,Clayton Zekelman,$2.2 B,54,Canada,Steel,
1424,1368,Zhao Fenggang,$2.2 B,57,China,Batteries,
1425,1434,Alex Beard,$2.1 B,55,United Kingdom,"Mining, commodities",
1426,1434,Travis Boersma,$2.1 B,52,United States,Coffee,
1427,1434,Martin Bouygues,$2.1 B,N/A,France,"Construction, media",
1428,1434,Olivier Bouygues,$2.1 B,72,France,"Construction, media",
1429,1434,William Boyd & family,$2.1 B,91,United States,"Casinos, banking",
1430,1434,Anand Burman,$2.1 B,70,India,Consumer goods,
1431,1434,Cao Ji,$2.1 B,71,China,Manufacturing,
1432,1434,Bruce Cheng,$2.1 B,86,Taiwan,Electronics,
1433,1434,Chi Yufeng,$2.1 B,52,China,Software,
1434,1434,Daniel Chiu,$2.1 B,62,Hong Kong,Oil & gas,
1435,1434,Beda Diethelm,$2.1 B,82,Switzerland,Hearing aids,
1436,1434,Domenico Dolce,$2.1 B,64,Italy,Luxury goods,
1437,1434,Ralph Dommermuth,$2.1 B,59,Germany,Internet service provider,
1438,1434,Georgi Domuschiev,$2.1 B,50,Bulgaria,"Animal health, investments",
1439,1434,Kiril Domuschiev,$2.1 B,53,Bulgaria,"Animal health, investments",
1440,1434,Bob Ell,$2.1 B,78,Australia,Real estate,
1441,1434,Paul Foster,$2.1 B,65,United States,Oil refining,
1442,1434,Stefano Gabbana,$2.1 B,60,Italy,Luxury goods,
1443,1434,Xingjiang Gao,$2.1 B,59,China,Steel,
1444,1434,Gordon Getty,$2.1 B,89,United States,Getty Oil,
1445,1434,Kamal Ghaffarian,$2.1 B,64,United States,"Space, energy",
1446,1434,Dennis Gillings,$2.1 B,78,United Kingdom,Clinical trials,
1447,1434,Harsh Goenka,$2.1 B,65,India,Diversified,
1448,1434,Sanjiv Goenka,$2.1 B,62,India,Diversified,
1449,1434,Jane Goldman,$2.1 B,67,United States,Real estate,
1450,1434,Stein Erik Hagen,$2.1 B,66,Norway,Consumer goods,
1451,1434,Bahaa Hariri,$2.1 B,56,Lebanon,"Real estate, investments",
1452,1434,Hortensia Herrero,$2.1 B,72,Spain,Supermarkets,
1453,1434,Douglas Hsu,$2.1 B,80,Taiwan,Diversified,
1454,1434,Huang Min,$2.1 B,49,China,Machinery,
1455,1434,Jared Isaacman,$2.1 B,40,United States,Payment processing,
1456,1434,Eugene Kaspersky,$2.1 B,57,Russia,Software,
1457,1434,Artem Khachatryan,$2.1 B,48,Russia,Retail,
1458,1434,Andrei Krivenko,$2.1 B,47,Russia,Retail,
1459,1434,Thomas Kwok,$2.1 B,71,Hong Kong,Real estate,
1460,1434,Lam Wai-ying,$2.1 B,N/A,Hong Kong,Smartphone screens,
1461,1434,Marc Lasry,$2.1 B,62,United States,Hedge funds,
1462,1434,Christian Latouche & family,$2.1 B,82,France,Accounting services,
1463,1434,Theodore Leonsis,$2.1 B,67,United States,Sports teams,
1464,1434,Lin Chang Su-O,$2.1 B,82,Taiwan,Real estate,
1465,1434,Liu Chengyu & family,$2.1 B,60,China,Power supply equipment,
1466,1434,Sergey Lomakin,$2.1 B,49,Russia,Retail,
1467,1434,Daniel Lubetzky,$2.1 B,54,United States,Snack bars,
1468,1434,Melissa Ma,$2.1 B,N/A,China,Internet search,
1469,1434,Anand Mahindra,$2.1 B,67,India,Diversified,
1470,1434,Rafique Malik,$2.1 B,72,India,Footwear,
1471,1434,Katarina Martinson,$2.1 B,41,Sweden,Investments,
1472,1434,Kiran Mazumdar-Shaw,$2.1 B,70,India,Biopharmaceuticals,
1473,1434,Nirmal Minda,$2.1 B,65,India,Auto parts,
1474,1434,Mu Rongjun,$2.1 B,43,China,E-commerce,
1475,1434,Eugene Murtagh,$2.1 B,80,Ireland,Building materials,
1476,1434,Alexander Nesis,$2.1 B,60,Russia,"Metals, banking, fertilizers",
1477,1434,Zugen Ni,$2.1 B,66,China,Appliances,
1478,1434,Florentino Perez,$2.1 B,76,Spain,Construction,
1479,1434,Victor Pinchuk,$2.1 B,62,Ukraine,"Steel pipes, diversified",
1480,1434,Leonid Radvinsky,$2.1 B,40,United States,E-commerce,
1481,1434,Raveendran Byju,$2.1 B,41,India,Education technology,
1482,1434,P.P. Reddy,$2.1 B,65,India,Infrastructure,
1483,1434,Richard Saghian,$2.1 B,41,United States,Fast fashion,
1484,1434,Shi Yifeng,$2.1 B,49,China,Medical cosmetics,
1485,1434,Thaksin Shinawatra,$2.1 B,73,Thailand,Investments,
1486,1434,Shu Ping,$2.1 B,53,Singapore,Restaurants,
1487,1434,Timothy Springer,$2.1 B,75,United States,Biotech,
1488,1434,Venu Srinivasan,$2.1 B,70,India,Two-wheelers,
1489,1434,Edward Stack,$2.1 B,68,United States,Dick's Sporting Goods,
1490,1434,Sun Mengquan & family,$2.1 B,73,China,Edible oil,
1491,1434,Alexander Svetakov,$2.1 B,55,Russia,Real estate,
1492,1434,Torsten Toeller,$2.1 B,56,Germany,Pet food,
1493,1434,Barbara Tyson,$2.1 B,74,United States,Food processing,
1494,1434,Hamdi Ulukaya,$2.1 B,50,Turkey,Greek yogurt,
1495,1434,Wang Linpeng,$2.1 B,54,China,Furniture retailing,
1496,1434,Wei Ing-Chou,$2.1 B,69,Taiwan,"Food, beverages",
1497,1434,Wei Yin-Chun,$2.1 B,66,Taiwan,"Food, beverages",
1498,1434,Wei Yin-Heng,$2.1 B,64,Taiwan,"Food, beverages",
1499,1434,Wei Ying-Chiao,$2.1 B,68,Taiwan,"Food, beverages",
1500,1434,Elaine Wynn,$2.1 B,80,United States,"Casinos, hotels",
1501,1434,Xu Xudong & family,$2.1 B,53,China,Auto parts,
1502,1434,Michael Ying,$2.1 B,73,Hong Kong,Retail,
1503,1434,Yu Qibing & family,$2.1 B,57,China,Glass,
1504,1434,Yuan Fugen & family,$2.1 B,72,China,Metal processing,
1505,1434,Zhang Ning & family,$2.1 B,49,Canada,Chemicals,
1506,1434,Zhao Tao,$2.1 B,57,Singapore,Pharmaceuticals,
1507,1516,Anu Aga,$2 B,80,India,Engineering,
1508,1516,Mohamed Al Fayed,$2 B,94,Egypt,"Retail, investments",
1509,1516,Andrey Andreev,$2 B,49,United Kingdom,Online dating,
1510,1516,Michael Ashcroft,$2 B,77,United Kingdom,Security,
1511,1516,Pavel Baudis,$2 B,62,Czech Republic,Software,
1512,1516,Wilhelm Beier & family,$2 B,66,Germany,Pharmaceuticals,
1513,1516,Cao Jianwei,$2 B,44,China,Semiconductors,
1514,1516,Huwen Chen,$2 B,52,China,Stationery,
1515,1516,Phongthep Chiaravanont,$2 B,71,Thailand,Diversified,
1516,1516,Dou Zhenggang,$2 B,69,China,"Energy, chemicals",
1517,1516,Maria Franca Fissolo,$2 B,88,Italy,"Nutella, chocolates",
1518,1516,William Franke,$2 B,85,United States,Low-cost airlines,
1519,1516,Mario Germano Giuliani,$2 B,51,Switzerland,Pharmaceuticals,
1520,1516,Amy Goldman Fowler,$2 B,68,United States,Real estate,
1521,1516,John Hancock,$2 B,47,Australia,Mining,
1522,1516,Hu Yangzhong,$2 B,58,China,Technology,
1523,1516,Huang Dawen,$2 B,62,Hong Kong,Silicon,
1524,1516,Huang Qiaoling,$2 B,64,China,Amusement parks,
1525,1516,Rajiv Jain,$2 B,55,United States,Finance,
1526,1516,Michael Jordan,$2 B,60,United States,"Charlotte Hornets, endorsements",
1527,1516,Diane Kemper,$2 B,77,United States,Real estate,
1528,1516,Shlomo Kramer,$2 B,57,Israel,"Software, investments",
1529,1516,Heikki Kyostila,$2 B,77,Finland,Dental products,
1530,1516,Martin Lau,$2 B,50,Hong Kong,E-commerce,
1531,1516,Li Min,$2 B,57,China,Semiconductor,
1532,1516,Liang Rubo,$2 B,40,China,TikTok,
1533,1516,Liang Zhaoxian,$2 B,58,China,Appliances,
1534,1516,Lin Fanlian,$2 B,61,China,"Energy, real estate",
1535,1516,Aloke Lohia,$2 B,64,India,Petrochemicals,
1536,1516,Bill Malhotra,$2 B,73,Canada,Real estate,
1537,1516,Alexander Mamut,$2 B,63,Russia,Investments,
1538,1516,Craig McCaw,$2 B,73,United States,Telecom,
1539,1516,Cunhui Nan,$2 B,59,China,Power equipment,
1540,1516,Tengyun Nie & family,$2 B,47,China,Logistics,
1541,1516,Oei Hong Leong,$2 B,75,Singapore,Investments,
1542,1516,Clive Palmer,$2 B,69,Australia,Mining,
1543,1516,Matthew Prince,$2 B,48,United States,Cybersecurity,
1544,1516,Linda Pritzker,$2 B,69,United States,"Hotels, investments",
1545,1516,P.V. Krishna Reddy,$2 B,53,India,Infrastructure,
1546,1516,Bianca Rinehart,$2 B,46,Australia,Mining,
1547,1516,Ginia Rinehart,$2 B,36,Australia,Mining,
1548,1516,T. Denny Sanford,$2 B,87,United States,"Banking, credit cards",
1549,1516,Bhadresh Shah,$2 B,71,India,Engineering,
1550,1516,Zygmunt Solorz-Zak,$2 B,66,Poland,TV broadcasting,
1551,1516,Michal Strnad,$2 B,30,Czech Republic,Defense Contracting,
1552,1516,Sylvia Stroeher,$2 B,67,Germany,Cosmetics,
1553,1516,Otto Toto Sugiri,$2 B,69,Indonesia,Data centers,
1554,1516,Larry Tanenbaum,$2 B,77,Canada,Sports,
1555,1516,Wichai Thongtang,$2 B,76,Thailand,Investments,
1556,1516,Ion Tiriac,$2 B,83,Romania,"Banking, insurance",
1557,1516,Hope Welker,$2 B,37,Australia,Mining,
1558,1516,William Young,$2 B,82,United States,Plastics,
1559,1516,Ales Zavoral,$2 B,46,Czech Republic,E-commerce,
1560,1516,Zhang Fan,$2 B,57,China,Touch screens,
1561,1516,Shilong Zhang & family,$2 B,57,China,Semiconductor,
1562,1516,Zhang Wanzhen,$2 B,73,China,Electronics components,
1563,1516,Hongfei Zhao,$2 B,48,China,Software,
1564,1516,Zhou Jian,$2 B,46,China,Solar energy equipment,
1565,1516,Zhu Yiwen & family,$2 B,59,China,Healthcare,
1566,1575,Roberto Angelini Rossi,$1.9 B,74,Chile,"Forestry, mining",
1567,1575,Mika Anttonen,$1.9 B,56,Finland,Oil & gas,
1568,1575,David Blitzer,$1.9 B,53,United States,Sports,
1569,1575,Julio Bozano,$1.9 B,87,Brazil,Banking,
1570,1575,Nikolai Buinov,$1.9 B,55,Russia,"Oil, gas",
1571,1575,Nicola Bulgari,$1.9 B,82,Italy,Luxury goods,
1572,1575,"Howard Butt, III. & family",$1.9 B,71,United States,Supermarkets,
1573,1575,Stephen Butt & family,$1.9 B,67,United States,Supermarkets,
1574,1575,Jianxing Che,$1.9 B,56,China,Furniture retailing,
1575,1575,Huxiong Chen,$1.9 B,52,China,Stationery,
1576,1575,Chen Qiongxiang,$1.9 B,N/A,China,Batteries,
1577,1575,Chen Zhisong,$1.9 B,57,China,Communication equipment,
1578,1575,Manas Chiaravanond,$1.9 B,N/A,Thailand,Diversified,
1579,1575,Prathip Chiravanond,$1.9 B,74,Thailand,Diversified,
1580,1575,Alexandra Daitch,$1.9 B,60,United States,Cargill,
1581,1575,Sol Daurella,$1.9 B,57,Spain,Coca-Cola bottler,
1582,1575,Mark Davis,$1.9 B,67,United States,Las Vegas Raiders,
1583,1575,James Dinan,$1.9 B,63,United States,Hedge funds,
1584,1575,Dong Fan,$1.9 B,53,China,Medical devices,
1585,1575,Fritz Draexlmaier,$1.9 B,N/A,Germany,Auto parts,
1586,1575,Bulent Eczacibasi,$1.9 B,73,Turkey,"Pharmaceuticals, diversified",
1587,1575,Faruk Eczacibasi,$1.9 B,68,Turkey,"Pharmaceuticals, diversified",
1588,1575,Eduardo Eurnekian,$1.9 B,90,Argentina,"Airports, investments",
1589,1575,David Fong,$1.9 B,65,Hong Kong,Real estate,
1590,1575,Guo Zhenyu & family,$1.9 B,59,Canada,Cosmetics,
1591,1575,Surjit Kumar Gupta,$1.9 B,81,India,Electrical equipment,
1592,1575,Roberto Hernandez Ramirez,$1.9 B,81,Mexico,"Banking, investments",
1593,1575,Reid Hoffman,$1.9 B,55,United States,LinkedIn,
1594,1575,Hu Rongda & family,$1.9 B,64,China,Chemicals,
1595,1575,"B. Wayne Hughes, Jr.",$1.9 B,63,United States,Storage facilities,
1596,1575,Hui Wing Mau,$1.9 B,72,Hong Kong,Real estate,
1597,1575,Scott Kapnick,$1.9 B,64,United States,Private equity,
1598,1575,Richard Kayne,$1.9 B,77,United States,Investments,
1599,1575,Dominika Kulczyk,$1.9 B,45,Poland,Diversified,
1600,1575,Edward Lampert,$1.9 B,60,United States,Sears,
1601,1575,Somsri Lamsam,$1.9 B,N/A,Thailand,Diversified,
1602,1575,James Leprino,$1.9 B,85,United States,Cheese,
1603,1575,David Lichtenstein,$1.9 B,61,United States,Real estate,
1604,1575,Lin Dingqiang & family,$1.9 B,56,Hong Kong,Real estate,
1605,1575,Sarah MacMillan,$1.9 B,69,United States,Cargill,
1606,1575,Strive Masiyiwa,$1.9 B,62,Zimbabwe,Telecom,
1607,1575,Robert Miller,$1.9 B,89,United Kingdom,Retail,
1608,1575,Simon Nixon,$1.9 B,55,United Kingdom,Price comparison website,
1609,1575,Kentaro Ogawa,$1.9 B,74,Japan,Restaurants,
1610,1575,Ajay Parekh,$1.9 B,65,India,Adhesives,
1611,1575,Narendrakumar Parekh,$1.9 B,84,India,Adhesives,
1612,1575,Jennifer Pritzker,$1.9 B,72,United States,"Hotels, investments",
1613,1575,G. Rajendran,$1.9 B,80,India,Jewellery,
1614,1575,Ren Jianhua,$1.9 B,66,China,Kitchen appliances,
1615,1575,Larry Robbins,$1.9 B,53,United States,Hedge funds,
1616,1575,Dwight Schar,$1.9 B,81,United States,"Homebuilding, NFL team",
1617,1575,Shao Jianxiong,$1.9 B,N/A,China,Photovoltaics,
1618,1575,Qinxiang Shao,$1.9 B,68,China,Diversified,
1619,1575,Hua Shen,$1.9 B,60,United States,Semiconductors,
1620,1575,Shi Wen-long,$1.9 B,95,Taiwan,Plastics,
1621,1575,Peter Sondakh,$1.9 B,73,Indonesia,Investments,
1622,1575,Lucy Stitzer,$1.9 B,63,United States,Cargill,
1623,1575,Elizabeth Sy,$1.9 B,70,Philippines,Diversified,
1624,1575,Hermanto Tanoko,$1.9 B,60,Indonesia,Paints,
1625,1575,Mehmet Sinan Tara,$1.9 B,64,Turkey,Construction,
1626,1575,Masateru Uno & family,$1.9 B,76,Japan,Drugstores,
1627,1575,Vardis Vardinoyannis & family,$1.9 B,90,Greece,Oil and gas,
1628,1575,Jitendra Virwani,$1.9 B,57,India,Real estate,
